Date;Time;Timezone;Alley;Lanes;Team 1;Team 2
20.01.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 7&8;El Caipiraños;The X-Team
20.01.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 9&10;Königin Ami und Ihre Talahuhns;X-Men
27.01.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 1&2;The X-Team;The Ghostriders
27.01.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 5&6;Die Flintstones;El Caipiraños
27.01.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 7&8;Die Strikeaholics;Königin Ami und Ihre Talahuhns
27.01.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 9&10;Flutschfingers;X-Men
03.02.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 1&2;The Ghostriders;Die Flintstones
03.02.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 5&6;El Caipiraños;Die Strikeaholics
03.02.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 7&8;Königin Ami und Ihre Talahuhns;Flutschfingers
03.02.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 9&10;X-Men;The X-Team
10.02.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 1&2;El Caipiraños;Königin Ami und Ihre Talahuhns
10.02.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 5&6;Die Flintstones;Flutschfingers
10.02.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 7&8;The X-Team;Die Strikeaholics
10.02.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 9&10;X-Men;The Ghostriders
17.02.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 1&2;Flutschfingers;Die Strikeaholics
17.02.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 5&6;Königin Ami und Ihre Talahuhns;The X-Team
17.02.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 7&8;The Ghostriders;El Caipiraños
17.02.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 9&10;Die Flintstones;X-Men
24.02.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 1&2;Königin Ami und Ihre Talahuhns;Die Flintstones
24.02.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 5&6;The X-Team;Flutschfingers
24.02.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 7&8;Die Strikeaholics;The Ghostriders
24.02.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 9&10;El Caipiraños;X-Men
03.03.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 1&2;El Caipiraños;Flutschfingers
03.03.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 5&6;The Ghostriders;Königin Ami und Ihre Talahuhns
03.03.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 7&8;Die Flintstones;The X-Team
03.03.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 9&10;X-Men;Die Strikeaholics
10.03.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 1&2;Die Strikeaholics;Die Flintstones
10.03.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 5&6;Flutschfingers;The Ghostriders
10.03.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 7&8;El Caipiraños;The X-Team
10.03.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 9&10;Königin Ami und Ihre Talahuhns;X-Men
17.03.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 1&2;The X-Team;The Ghostriders
17.03.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 5&6;Die Flintstones;El Caipiraños
17.03.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 7&8;Die Strikeaholics;Königin Ami und Ihre Talahuhns
17.03.2025;19:00;Europe/Berlin;Bowling around the Clock Lauenau;Bahnen 9&10;Flutschfingers;X-Men
